species,item,ability,type1,type2,move1,move2,move3,move4,won,strategy
Conkeldurr,Flame Orb,Guts,Fighting,,Drain Punch,Ice Punch,Bulk Up,Knock Off,false,random
Bellossom,Life Orb,Chlorophyll,Grass,,Giga Drain,Sleep Powder,Hidden Power Fire,Sunny Day,false,random
Jynx,Leftovers,Dry Skin,Ice,Psychic,Substitute,Psyshock,Nasty Plot,Ice Beam,false,random
Mr. Mime,Leftovers,Filter,Psychic,Fairy,Dazzling Gleam,Shadow Ball,Encore,Healing Wish,false,random
Dodrio,Life Orb,Tangled Feet,Normal,Flying,Roost,Return,Quick Attack,Brave Bird,true,best
Crustle,Leftovers,Sturdy,Bug,Rock,Stone Edge,Spikes,Earthquake,X-Scissor,true,best
Giratina-Origin,Griseous Orb,Levitate,Ghost,Dragon,Will-O-Wisp,Defog,Draco Meteor,Shadow Sneak,true,best
Tyrantrum,Lum Berry,Rock Head,Rock,Dragon,Dragon Dance,Outrage,Superpower,Head Smash,true,best
Minun,Leftovers,Volt Absorb,Electric,,Substitute,Encore,Hidden Power Ice,Thunderbolt,true,best
Landorus-Therian,Life Orb,Intimidate,Ground,Flying,Stealth Rock,Superpower,Stone Edge,Earthquake,true,best
Gardevoir,Gardevoirite,Trace,Psychic,Fairy,Hyper Voice,Taunt,Will-O-Wisp,Focus Blast,false,random
Corsola,Leftovers,Regenerator,Water,Rock,Toxic,Power Gem,Recover,Scald,false,random
Hoopa,Life Orb,Magician,Psychic,Ghost,Nasty Plot,Shadow Ball,Focus Blast,Psyshock,false,random
Genesect,Douse Drive,Download,Bug,Steel,Techno Blast,Thunderbolt,Shift Gear,Iron Head,false,random
Lilligant,Leftovers,Own Tempo,Grass,,Giga Drain,Sleep Powder,Hidden Power Rock,Quiver Dance,false,random
Noivern,Life Orb,Infiltrator,Flying,Dragon,Roost,Draco Meteor,Flamethrower,Hurricane,false,random
Hariyama,Focus Sash,Thick Fat,Fighting,,Knock Off,Close Combat,Bulk Up,Ice Punch,true,best
Honchkrow,Life Orb,Moxie,Dark,Flying,Heat Wave,Pursuit,Brave Bird,Superpower,true,best
Kabutops,Life Orb,Battle Armor,Rock,Water,Swords Dance,Waterfall,Aqua Jet,Stone Edge,true,best
Volcanion,Leftovers,Water Absorb,Fire,Water,Earth Power,Fire Blast,Substitute,Steam Eruption,true,best
Smeargle,Focus Sash,Own Tempo,Normal,,Whirlwind,Sticky Web,Destiny Bond,Spore,true,best
Hoopa-Unbound,Life Orb,Magician,Psychic,Dark,Psychic,Nasty Plot,Focus Blast,Dark Pulse,true,best
Omastar,Focus Sash,Shell Armor,Rock,Water,Spikes,Scald,Earth Power,Ice Beam,false,random
Venomoth,Black Sludge,Tinted Lens,Bug,Poison,Substitute,Quiver Dance,Sludge Bomb,Bug Buzz,false,random
Altaria,Altarianite,Cloud Nine,Dragon,Flying,Dragon Dance,Roost,Return,Earthquake,false,random
Meganium,Leftovers,Overgrow,Grass,,Toxic,Aromatherapy,Giga Drain,Synthesis,false,random
Mew,Leftovers,Synchronize,Psychic,,Stealth Rock,Roost,Psyshock,Aura Sphere,false,random
Landorus,Life Orb,Sheer Force,Ground,Flying,Earth Power,Calm Mind,Rock Polish,Psychic,false,random
Meganium,Leftovers,Overgrow,Grass,,Toxic,Dragon Tail,Giga Drain,Aromatherapy,true,best
Giratina,Leftovers,Pressure,Ghost,Dragon,Sleep Talk,Rest,Roar,Shadow Ball,true,best
Mesprit,Leftovers,Levitate,Psychic,,Hidden Power Fire,Psyshock,Healing Wish,U-turn,true,best
Hippowdon,Leftovers,Sand Stream,Ground,,Stealth Rock,Whirlwind,Earthquake,Slack Off,true,best
Emboar,Assault Vest,Reckless,Fire,Fighting,Flare Blitz,Grass Knot,Superpower,Head Smash,true,best
Suicune,Leftovers,Water Absorb,Water,,Calm Mind,Ice Beam,Scald,Hidden Power Grass,true,best
Scizor,Focus Sash,Technician,Bug,Steel,Bullet Punch,Knock Off,Swords Dance,Superpower,false,random
Alakazam,Alakazite,Magic Guard,Psychic,,Calm Mind,Psyshock,Encore,Focus Blast,false,random
Articuno,Leftovers,Pressure,Ice,Flying,Toxic,Roost,Hurricane,Ice Beam,false,random
Exeggutor,Sitrus Berry,Harvest,Grass,Psychic,Psychic,Hidden Power Fire,Sleep Powder,Giga Drain,false,random
Aurorus,Leftovers,Snow Warning,Rock,Ice,Earth Power,Blizzard,Ancient Power,Thunder Wave,false,random
Crustle,Leftovers,Sturdy,Bug,Rock,X-Scissor,Earthquake,Spikes,Stealth Rock,false,random
Abomasnow,Abomasite,Snow Warning,Grass,Ice,Earthquake,Blizzard,Giga Drain,Hidden Power Fire,true,best
Thundurus-Therian,Life Orb,Volt Absorb,Electric,Flying,Thunderbolt,Hidden Power Ice,Nasty Plot,Focus Blast,true,best
Celebi,Leftovers,Natural Cure,Psychic,Grass,Nasty Plot,Giga Drain,Hidden Power Fire,Earth Power,true,best
Golduck,Life Orb,Cloud Nine,Water,,Calm Mind,Psyshock,Ice Beam,Scald,true,best
Forretress,Leftovers,Sturdy,Bug,Steel,Toxic,Volt Switch,Gyro Ball,Rapid Spin,true,best
Deoxys-Attack,Life Orb,Pressure,Psychic,,Stealth Rock,Superpower,Psycho Boost,Ice Beam,true,best
Drifblim,Sitrus Berry,Unburden,Ghost,Flying,Acrobatics,Destiny Bond,Shadow Ball,Substitute,false,random
Wormadam-Sandy,Leftovers,Overcoat,Bug,Ground,Protect,Toxic,Stealth Rock,Earthquake,false,random
Persian,Life Orb,Technician,Normal,,U-turn,Knock Off,Fake Out,Return,false,random
Darkrai,Life Orb,Bad Dreams,Dark,,Dark Void,Sludge Bomb,Focus Blast,Dark Pulse,false,random
Aurorus,Leftovers,Refrigerate,Rock,Ice,Earth Power,Freeze-Dry,Stealth Rock,Hyper Voice,false,random
Dragonite,Lum Berry,Multiscale,Dragon,Flying,Dragon Dance,Roost,Extreme Speed,Outrage,false,random
Kecleon,Leftovers,Protean,Normal,,Recover,Stealth Rock,Knock Off,Shadow Sneak,true,best
Lucario,Life Orb,Justified,Fighting,Steel,Close Combat,Extreme Speed,Swords Dance,Crunch,true,best
Salamence,Salamencite,Intimidate,Dragon,Flying,Double-Edge,Roost,Dragon Dance,Earthquake,true,best
Zapdos,Leftovers,Pressure,Electric,Flying,Toxic,U-turn,Thunderbolt,Roost,true,best
Pangoro,Life Orb,Iron Fist,Fighting,Dark,Knock Off,Parting Shot,Ice Punch,Superpower,true,best
Swoobat,Leftovers,Unaware,Psychic,Flying,Air Slash,Substitute,Heat Wave,Roost,true,best
Genesect,Assault Vest,Download,Bug,Steel,Iron Head,Thunderbolt,U-turn,Flamethrower,false,random
Landorus,Life Orb,Sheer Force,Ground,Flying,Calm Mind,Psychic,Earth Power,Focus Blast,false,random
Rotom-Heat,Leftovers,Levitate,Electric,Fire,Will-O-Wisp,Overheat,Hidden Power Ice,Thunderbolt,false,random
Carnivine,Leftovers,Levitate,Grass,,Knock Off,Sleep Powder,Substitute,Power Whip,false,random
Klinklang,Leftovers,Clear Body,Steel,,Shift Gear,Substitute,Gear Grind,Wild Charge,false,random
Charizard,Charizardite Y,Blaze,Fire,Flying,Air Slash,Roost,Fire Blast,Focus Blast,false,random
Liepard,Focus Sash,Prankster,Dark,,Copycat,Thunder Wave,Knock Off,Play Rough,true,best
Scolipede,Life Orb,Speed Boost,Bug,Poison,Megahorn,Poison Jab,Swords Dance,Earthquake,true,best
Jolteon,Choice Specs,Volt Absorb,Electric,,Shadow Ball,Hidden Power Ice,Thunderbolt,Volt Switch,true,best
Cobalion,Leftovers,Justified,Steel,Fighting,Stone Edge,Swords Dance,Iron Head,Close Combat,true,best
Xatu,Leftovers,Magic Bounce,Psychic,Flying,Psychic,Calm Mind,Heat Wave,Reflect,true,best
Gigalith,Custap Berry,Sturdy,Rock,,Stealth Rock,Earthquake,Stone Edge,Explosion,true,best
Kecleon,Leftovers,Protean,Normal,,Sucker Punch,Shadow Sneak,Drain Punch,Recover,false,random
Volbeat,Leftovers,Prankster,Bug,,U-turn,Roost,Thunder Wave,Encore,false,random
Doublade,Eviolite,No Guard,Steel,Ghost,Swords Dance,Sacred Sword,Shadow Claw,Iron Head,false,random
Rapidash,Life Orb,Flash Fire,Fire,,Flare Blitz,Drill Run,Morning Sun,Wild Charge,false,random
Meloetta,Choice Specs,Serene Grace,Normal,Psychic,Psyshock,U-turn,Hyper Voice,Shadow Ball,false,random
Klinklang,Leftovers,Clear Body,Steel,,Shift Gear,Return,Substitute,Gear Grind,false,random
Rhyperior,Weakness Policy,Solid Rock,Ground,Rock,Stone Edge,Ice Punch,Earthquake,Rock Polish,true,best
Venusaur,Venusaurite,Overgrow,Grass,Poison,Hidden Power Fire,Leech Seed,Earthquake,Giga Drain,true,best
Bisharp,Life Orb,Defiant,Dark,Steel,Swords Dance,Iron Head,Sucker Punch,Knock Off,true,best
Maractus,Leftovers,Water Absorb,Grass,,Hidden Power Fire,Giga Drain,Spiky Shield,Leech Seed,true,best
Diggersby,Life Orb,Huge Power,Normal,Ground,Return,Agility,Wild Charge,Earthquake,true,best
Bouffalant,Leftovers,Sap Sipper,Normal,,Stone Edge,Swords Dance,Megahorn,Head Charge,true,best
Sylveon,Leftovers,Pixilate,Fairy,,Calm Mind,Wish,Hidden Power Fire,Hyper Voice,false,random
Regigigas,Leftovers,Slow Start,Normal,,Return,Drain Punch,Confuse Ray,Substitute,false,random
Hitmontop,Life Orb,Intimidate,Fighting,,Toxic,Stone Edge,Sucker Punch,Close Combat,false,random
Raichu,Choice Specs,Lightning Rod,Electric,,Hidden Power Ice,Grass Knot,Thunderbolt,Focus Blast,false,random
Volbeat,Leftovers,Prankster,Bug,,U-turn,Roost,Thunder Wave,Encore,false,random
Cresselia,Leftovers,Levitate,Psychic,,Psychic,Ice Beam,Calm Mind,Moonblast,false,random
Braviary,Leftovers,Defiant,Normal,Flying,Roost,Return,Bulk Up,Brave Bird,true,random
Cacturne,Life Orb,Water Absorb,Grass,Dark,Sucker Punch,Seed Bomb,Swords Dance,Focus Blast,true,random
Talonflame,Sharp Beak,Gale Wings,Fire,Flying,Swords Dance,Flare Blitz,Brave Bird,Roost,true,random
Walrein,Leftovers,Thick Fat,Ice,Water,Toxic,Ice Beam,Super Fang,Surf,true,random
Arcanine,Leftovers,Flash Fire,Fire,,Close Combat,Morning Sun,Flare Blitz,Toxic,true,random
Mewtwo,Mewtwonite Y,Unnerve,Psychic,,Ice Beam,Shadow Ball,Psystrike,Taunt,true,random
Weezing,Black Sludge,Levitate,Poison,,Sludge Bomb,Protect,Toxic Spikes,Will-O-Wisp,false,best
Honchkrow,Life Orb,Moxie,Dark,Flying,Sucker Punch,Brave Bird,Pursuit,Roost,false,best
Rayquaza,Assault Vest,Air Lock,Dragon,Flying,Dragon Claw,V-create,Earthquake,Draco Meteor,false,best
Metagross,Leftovers,Clear Body,Steel,Psychic,Stealth Rock,Meteor Mash,Explosion,Ice Punch,false,best
Luxray,Toxic Orb,Guts,Electric,,Volt Switch,Crunch,Facade,Wild Charge,false,best
Latios,Latiosite,Levitate,Dragon,Psychic,Roost,Psyshock,Calm Mind,Draco Meteor,false,best
Entei,Choice Band,Flash Fire,Fire,,Bulldoze,Stone Edge,Sacred Fire,Extreme Speed,true,best
Archeops,Expert Belt,Defeatist,Rock,Flying,Endeavor,Head Smash,Aqua Tail,Earthquake,true,best
Genesect,Douse Drive,Download,Bug,Steel,Iron Head,Techno Blast,Shift Gear,Extreme Speed,true,best
Chatot,Leftovers,Big Pecks,Normal,Flying,Chatter,Boomburst,Hidden Power Ground,Substitute,true,best
Scrafty,Leftovers,Intimidate,Dark,Fighting,Dragon Dance,Knock Off,Ice Punch,High Jump Kick,true,best
Castform,Damp Rock,Forecast,Normal,,Weather Ball,Thunder,Hurricane,Rain Dance,true,best
Cresselia,Leftovers,Levitate,Psychic,,Moonblast,Substitute,Toxic,Psyshock,false,random
Regirock,Chesto Berry,Sturdy,Rock,,Toxic,Rock Slide,Drain Punch,Rest,false,random
Salamence,Lum Berry,Intimidate,Dragon,Flying,Dragon Dance,Outrage,Earthquake,Draco Meteor,false,random
Pachirisu,Leftovers,Volt Absorb,Electric,,U-turn,Toxic,Thunderbolt,Nuzzle,false,random
Mewtwo,Mewtwonite X,Unnerve,Psychic,,Zen Headbutt,Taunt,Bulk Up,Drain Punch,false,random
Leafeon,Leftovers,Chlorophyll,Grass,,Heal Bell,Knock Off,Synthesis,Leaf Blade,false,random
Volcanion,Leftovers,Water Absorb,Fire,Water,Steam Eruption,Hidden Power Ice,Substitute,Fire Blast,true,best
Slurpuff,Sitrus Berry,Unburden,Fairy,,Return,Play Rough,Drain Punch,Belly Drum,true,best
Magmortar,Leftovers,Vital Spirit,Fire,,Thunderbolt,Substitute,Focus Blast,Fire Blast,true,best
Salamence,Salamencite,Intimidate,Dragon,Flying,Double-Edge,Earthquake,Fire Blast,Roost,true,best
Hitmonlee,Leftovers,Reckless,Fighting,,Stone Edge,Rapid Spin,Knock Off,High Jump Kick,true,best
Walrein,Leftovers,Thick Fat,Ice,Water,Toxic,Ice Beam,Surf,Roar,true,best
Sceptile,Choice Specs,Overgrow,Grass,,Leaf Storm,Hidden Power Flying,Focus Blast,Giga Drain,false,random
Deoxys,Leftovers,Pressure,Psychic,,Taunt,Stealth Rock,Extreme Speed,Psycho Boost,false,random
Volcarona,Leftovers,Swarm,Bug,Fire,Roost,Bug Buzz,Fiery Dance,Quiver Dance,false,random
Kangaskhan,Kangaskhanite,Scrappy,Normal,,Crunch,Return,Power-Up Punch,Earthquake,false,random
Pyroar,Life Orb,Unnerve,Fire,Normal,Hyper Voice,Sunny Day,Solar Beam,Fire Blast,false,random
Suicune,Leftovers,Water Absorb,Water,,Ice Beam,Scald,Calm Mind,Hidden Power Grass,false,random
Gardevoir,Gardevoirite,Trace,Psychic,Fairy,Calm Mind,Substitute,Hyper Voice,Focus Blast,true,best
Seaking,Choice Band,Lightning Rod,Water,,Megahorn,Waterfall,Drill Run,Knock Off,true,best
Parasect,Leftovers,Dry Skin,Bug,Grass,Substitute,Seed Bomb,Spore,X-Scissor,true,best
Victini,Assault Vest,Victory Star,Psychic,Fire,Grass Knot,Zen Headbutt,Bolt Strike,V-create,true,best
Venomoth,Black Sludge,Tinted Lens,Bug,Poison,Substitute,Sludge Bomb,Quiver Dance,Bug Buzz,true,best
Rotom-Fan,Leftovers,Levitate,Electric,Flying,Thunderbolt,Air Slash,Pain Split,Will-O-Wisp,true,best
Barbaracle,White Herb,Tough Claws,Rock,Water,Earthquake,Razor Shell,Shell Smash,Stone Edge,false,random
Pangoro,Life Orb,Iron Fist,Fighting,Dark,Gunk Shot,Parting Shot,Knock Off,Drain Punch,false,random
Quagsire,Leftovers,Water Absorb,Water,Ground,Encore,Ice Beam,Scald,Earthquake,false,random
Stunfisk,Leftovers,Static,Ground,Electric,Sleep Talk,Earth Power,Rest,Toxic,false,random
Infernape,Leftovers,Blaze,Fire,Fighting,Flare Blitz,Stealth Rock,Vacuum Wave,U-turn,false,random
Gothitelle,Leftovers,Shadow Tag,Psychic,,Sleep Talk,Rest,Psychic,Toxic,false,random
Haxorus,Lum Berry,Mold Breaker,Dragon,,Taunt,Outrage,Poison Jab,Swords Dance,true,best
Carbink,Custap Berry,Sturdy,Rock,Fairy,Moonblast,Power Gem,Explosion,Stealth Rock,true,best
Mew,Leftovers,Synchronize,Psychic,,Ice Beam,Nasty Plot,Psyshock,Roost,true,best
Charizard,,Blaze,Fire,Flying,Will-O-Wisp,Swords Dance,Flare Blitz,Acrobatics,true,best
Kangaskhan,Kangaskhanite,Scrappy,Normal,,Earthquake,Power-Up Punch,Crunch,Return,true,best
Rotom-Fan,Leftovers,Levitate,Electric,Flying,Will-O-Wisp,Volt Switch,Air Slash,Thunderbolt,true,best
Pinsir,Choice Scarf,Moxie,Bug,,Close Combat,Stone Edge,X-Scissor,Knock Off,false,random
Cresselia,Leftovers,Levitate,Psychic,,Ice Beam,Psychic,Calm Mind,Moonblast,false,random
Mewtwo,Mewtwonite X,Unnerve,Psychic,,Bulk Up,Taunt,Zen Headbutt,Drain Punch,false,random
Ninjask,Life Orb,Speed Boost,Bug,Flying,X-Scissor,Night Slash,Swords Dance,Aerial Ace,false,random
Plusle,Leftovers,Lightning Rod,Electric,,Thunderbolt,Hidden Power Ice,Substitute,Encore,false,random
Sandslash,Leftovers,Sand Rush,Ground,,Knock Off,Stealth Rock,Earthquake,Rapid Spin,false,random
Hariyama,Choice Band,Thick Fat,Fighting,,Stone Edge,Ice Punch,Knock Off,Close Combat,true,best
Shaymin-Sky,Metronome,Serene Grace,Grass,Flying,Seed Flare,Air Slash,Leech Seed,Earth Power,true,best
Garchomp,Garchompite,Rough Skin,Dragon,Ground,Swords Dance,Outrage,Earthquake,Stone Edge,true,best
Sudowoodo,Leftovers,Sturdy,Rock,,Sucker Punch,Earthquake,Stealth Rock,Stone Edge,true,best
Lapras,Leftovers,Water Absorb,Water,Ice,Ice Beam,Thunderbolt,Substitute,Hydro Pump,true,best
Jellicent,Life Orb,Water Absorb,Water,Ghost,Shadow Ball,Scald,Ice Beam,Recover,true,best
Pidgeot,Pidgeotite,Big Pecks,Normal,Flying,Hurricane,Defog,Roost,U-turn,false,random
Gourgeist-Super,Leftovers,Frisk,Ghost,Grass,Will-O-Wisp,Synthesis,Seed Bomb,Shadow Sneak,false,random
Zapdos,Leftovers,Static,Electric,Flying,Thunderbolt,Toxic,U-turn,Roost,false,random
Entei,Choice Band,Flash Fire,Fire,,Stone Edge,Bulldoze,Flare Blitz,Sacred Fire,false,random
Drapion,Life Orb,Sniper,Poison,Dark,Taunt,Earthquake,Poison Jab,Pursuit,false,random
Rotom,Life Orb,Levitate,Electric,Ghost,Will-O-Wisp,Thunderbolt,Shadow Ball,Volt Switch,false,random
Heracross,Heracronite,Moxie,Bug,Fighting,Pin Missile,Substitute,Swords Dance,Close Combat,true,best
Delphox,Choice Scarf,Magician,Fire,Psychic,Fire Blast,Shadow Ball,Grass Knot,Psyshock,true,best
Scolipede,Life Orb,Speed Boost,Bug,Poison,Poison Jab,Swords Dance,Megahorn,Earthquake,true,best
Shaymin,Leftovers,Natural Cure,Grass,,Seed Flare,Air Slash,Substitute,Earth Power,true,best
Magcargo,White Herb,Flame Body,Fire,Rock,Lava Plume,Ancient Power,Shell Smash,Recover,true,best
Tornadus-Therian,Life Orb,Regenerator,Flying,,Heat Wave,Knock Off,Taunt,Hurricane,true,best
Cacturne,Focus Sash,Water Absorb,Grass,Dark,Swords Dance,Sucker Punch,Seed Bomb,Dark Pulse,false,random
Tyrantrum,Lum Berry,Rock Head,Rock,Dragon,Outrage,Dragon Dance,Earthquake,Head Smash,false,random
Suicune,Leftovers,Water Absorb,Water,,Hydro Pump,Ice Beam,Hidden Power Grass,Calm Mind,false,random
Lanturn,Life Orb,Volt Absorb,Water,Electric,Hydro Pump,Thunderbolt,Volt Switch,Thunder Wave,false,random
Delibird,Leftovers,Vital Spirit,Ice,Flying,Spikes,Icy Wind,Destiny Bond,Rapid Spin,false,random
Heatmor,Life Orb,Flash Fire,Fire,,Fire Blast,Giga Drain,Knock Off,Focus Blast,false,random
Rotom,Choice Specs,Levitate,Electric,Ghost,Thunderbolt,Hidden Power Ice,Volt Switch,Shadow Ball,true,best
Durant,Life Orb,Hustle,Bug,Steel,Stone Edge,Hone Claws,Iron Head,X-Scissor,true,best
Blaziken,Blazikenite,Speed Boost,Fire,Fighting,Flare Blitz,Stone Edge,Swords Dance,High Jump Kick,true,best
Uxie,Leftovers,Levitate,Psychic,,Psychic,Yawn,Knock Off,Heal Bell,true,best
Mantine,Leftovers,Water Absorb,Water,Flying,Toxic,Air Slash,Sleep Talk,Rest,true,best
Meganium,Leftovers,Overgrow,Grass,,Dragon Tail,Synthesis,Aromatherapy,Giga Drain,true,best
Froslass,Focus Sash,Cursed Body,Ice,Ghost,Shadow Ball,Destiny Bond,Spikes,Ice Beam,false,random
Tentacruel,Black Sludge,Clear Body,Water,Poison,Sludge Bomb,Toxic Spikes,Scald,Rapid Spin,false,random
Zygarde,Lum Berry,Aura Break,Dragon,Ground,Stone Edge,Outrage,Dragon Dance,Earthquake,false,random
Miltank,Leftovers,Sap Sipper,Normal,,Body Slam,Milk Drink,Curse,Earthquake,false,random
Simisear,Life Orb,Blaze,Fire,,Fire Blast,Focus Blast,Nasty Plot,Hidden Power Rock,false,random
Spiritomb,Leftovers,Infiltrator,Ghost,Dark,Psychic,Dark Pulse,Pursuit,Will-O-Wisp,false,random
Aggron,Aggronite,Sturdy,Steel,Rock,Earthquake,Toxic,Roar,Heavy Slam,true,best
Genesect,Douse Drive,Download,Bug,Steel,U-turn,Techno Blast,Extreme Speed,Iron Head,true,best
Tornadus,,Prankster,Flying,,Bulk Up,Rest,Sleep Talk,Acrobatics,true,best
Manaphy,Leftovers,Hydration,Water,,Surf,Energy Ball,Ice Beam,Tail Glow,true,best
Sawsbuck-Summer,Leftovers,Sap Sipper,Normal,Grass,Swords Dance,Jump Kick,Horn Leech,Substitute,true,best
Thundurus-Therian,Choice Scarf,Volt Absorb,Electric,Flying,Hidden Power Flying,Thunderbolt,Focus Blast,Volt Switch,true,best
Togekiss,Leftovers,Serene Grace,Fairy,Flying,Roost,Thunder Wave,Air Slash,Aura Sphere,false,random
Marowak,Thick Club,Rock Head,Ground,,Substitute,Stone Edge,Double-Edge,Bonemerang,false,random
Furfrou-La Reine,Chesto Berry,Fur Coat,Normal,,Toxic,Rest,Return,Sucker Punch,false,random
Mewtwo,Mewtwonite Y,Unnerve,Psychic,,Ice Beam,Psystrike,Aura Sphere,Taunt,false,random
Ferrothorn,Rocky Helmet,Iron Barbs,Grass,Steel,Leech Seed,Knock Off,Spikes,Gyro Ball,false,random
Tentacruel,Black Sludge,Clear Body,Water,Poison,Toxic Spikes,Rapid Spin,Sludge Bomb,Scald,false,random
Tangrowth,Life Orb,Regenerator,Grass,,Earthquake,Hidden Power Fire,Sleep Powder,Leaf Storm,true,best
Thundurus,Leftovers,Prankster,Electric,Flying,Focus Blast,Nasty Plot,Thunderbolt,Substitute,true,best
Malamar,Leftovers,Contrary,Dark,Psychic,Superpower,Knock Off,Trick Room,Substitute,true,best
Luxray,Toxic Orb,Guts,Electric,,Facade,Superpower,Ice Fang,Wild Charge,true,best
Chesnaught,Leftovers,Bulletproof,Grass,Fighting,Spiky Shield,Drain Punch,Wood Hammer,Spikes,true,best
Dusknoir,Leftovers,Frisk,Ghost,,Earthquake,Focus Punch,Substitute,Shadow Sneak,true,best
Infernape,Life Orb,Blaze,Fire,Fighting,Stone Edge,Stealth Rock,Vacuum Wave,Flare Blitz,false,random
Sawk,Leftovers,Sturdy,Fighting,,Poison Jab,Close Combat,Bulk Up,Knock Off,false,random
Swanna,Life Orb,Hydration,Water,Flying,Roost,Rain Dance,Air Slash,Scald,false,random
Victini,Assault Vest,Victory Star,Psychic,Fire,Blue Flare,Focus Blast,Zen Headbutt,V-create,false,random
Cresselia,Leftovers,Levitate,Psychic,,Toxic,Moonblast,Psyshock,Moonlight,false,random
Seaking,Life Orb,Lightning Rod,Water,,Knock Off,Ice Beam,Drill Run,Scald,false,random
Chandelure,Choice Scarf,Flash Fire,Ghost,Fire,Shadow Ball,Trick,Hidden Power Ground,Fire Blast,true,best
Pelipper,Leftovers,Rain Dish,Water,Flying,Hurricane,Roost,Toxic,Scald,true,best
Granbull,Life Orb,Intimidate,Fairy,,Earthquake,Crunch,Play Rough,Thunder Wave,true,best
Krookodile,Choice Scarf,Moxie,Ground,Dark,Superpower,Stone Edge,Pursuit,Earthquake,true,best
Furfrou-La Reine,Leftovers,Fur Coat,Normal,,U-turn,Return,Thunder Wave,Sucker Punch,true,best
Electivire,Expert Belt,Motor Drive,Electric,,Wild Charge,Earthquake,Ice Punch,Volt Switch,true,best
Gligar,Eviolite,Immunity,Ground,Flying,Earthquake,Stealth Rock,Toxic,Roost,false,random
Krookodile,Choice Band,Moxie,Ground,Dark,Knock Off,Pursuit,Stone Edge,Earthquake,false,random
Darkrai,Life Orb,Bad Dreams,Dark,,Sludge Bomb,Dark Void,Focus Blast,Dark Pulse,false,random
Sudowoodo,Leftovers,Rock Head,Rock,,Wood Hammer,Toxic,Earthquake,Stone Edge,false,random
Kyurem,Leftovers,Pressure,Dragon,Ice,Roost,Draco Meteor,Ice Beam,Focus Blast,false,random
Zebstrika,Choice Specs,Motor Drive,Electric,,Volt Switch,Thunderbolt,Overheat,Hidden Power Grass,false,random
Marowak,Thick Club,Battle Armor,Ground,,Stealth Rock,Stone Edge,Earthquake,Knock Off,true,best
Lilligant,Leftovers,Own Tempo,Grass,,Hidden Power Rock,Quiver Dance,Petal Dance,Sleep Powder,true,best
Jolteon,Choice Specs,Volt Absorb,Electric,,Thunderbolt,Volt Switch,Signal Beam,Shadow Ball,true,best
Tornadus,,Prankster,Flying,,Superpower,Acrobatics,Knock Off,Bulk Up,true,best
Reshiram,Leftovers,Turboblaze,Dragon,Fire,Roost,Draco Meteor,Blue Flare,Stone Edge,true,best
Spinda,Life Orb,Contrary,Normal,,Superpower,Return,Sucker Punch,Ice Punch,true,best
Azelf,Life Orb,Levitate,Psychic,,Explosion,Psyshock,Knock Off,Fire Blast,false,random
Bronzong,Leftovers,Levitate,Steel,Psychic,Earthquake,Toxic,Stealth Rock,Gyro Ball,false,random
Rotom,Leftovers,Levitate,Electric,Ghost,Thunderbolt,Substitute,Will-O-Wisp,Shadow Ball,false,random
Dragalge,Black Sludge,Adaptability,Poison,Dragon,Draco Meteor,Sludge Wave,Toxic Spikes,Hidden Power Fire,false,random
Avalugg,Leftovers,Sturdy,Ice,,Toxic,Recover,Rapid Spin,Avalanche,false,random
Floatzel,Leftovers,Water Veil,Water,,Bulk Up,Aqua Jet,Substitute,Waterfall,false,random
Steelix,Life Orb,Sheer Force,Steel,Ground,Iron Head,Toxic,Earthquake,Rock Slide,true,best
Trevenant,Life Orb,Natural Cure,Ghost,Grass,Shadow Claw,Trick Room,Horn Leech,Rock Slide,true,best
Lucario,Lucarionite,Justified,Fighting,Steel,Flash Cannon,Nasty Plot,Dark Pulse,Aura Sphere,true,best
Scrafty,Leftovers,Intimidate,Dark,Fighting,Ice Punch,Bulk Up,Knock Off,Drain Punch,true,best
Gigalith,Choice Band,Sturdy,Rock,,Superpower,Rock Blast,Earthquake,Explosion,true,best
Mamoswine,Life Orb,Thick Fat,Ice,Ground,Earthquake,Icicle Crash,Stealth Rock,Knock Off,true,best
Swalot,Focus Sash,Sticky Hold,Poison,,Pain Split,Earthquake,Ice Beam,Sludge Bomb,false,random
Beartic,Life Orb,Swift Swim,Ice,,Stone Edge,Swords Dance,Aqua Jet,Icicle Crash,false,random
Salamence,Salamencite,Intimidate,Dragon,Flying,Fire Blast,Double-Edge,Roost,Draco Meteor,false,random
Mothim,Life Orb,Tinted Lens,Bug,Flying,Quiver Dance,Energy Ball,Air Slash,Bug Buzz,false,random
Porygon-Z,Life Orb,Adaptability,Normal,,Tri Attack,Ice Beam,Agility,Thunderbolt,false,random
Accelgor,Leftovers,Sticky Hold,Bug,,Spikes,Energy Ball,Bug Buzz,Encore,false,random
Crawdaunt,Focus Sash,Adaptability,Water,Dark,Dragon Dance,Knock Off,Crabhammer,Superpower,true,best
Conkeldurr,Life Orb,Iron Fist,Fighting,,Knock Off,Ice Punch,Bulk Up,Drain Punch,true,best
Magmortar,Leftovers,Vital Spirit,Fire,,Substitute,Thunderbolt,Hidden Power Ice,Fire Blast,true,best
Glaceon,Leftovers,Ice Body,Ice,,Wish,Toxic,Protect,Ice Beam,true,best
Golem,Custap Berry,Sturdy,Rock,Ground,Toxic,Explosion,Rock Blast,Earthquake,true,best
